,Kingdom,Phylum,Class,Order,Family,Genus
ASV_35651,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile
ASV_35652,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV_35653,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_35654,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_35655,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
ASV_35656,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella_3
ASV_35657,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV_35658,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV_35659,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocales_Incertae_Sedis,NA
ASV_35660,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Brassicibacter
ASV_35661,Bacteria,NA,NA,NA,NA,NA
ASV_35662,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_35663,Bacteria,NA,NA,NA,NA,NA
ASV_35664,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NA
ASV_35665,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV_35666,Bacteria,Planctomycetes,OM190,NA,NA,NA
